Trait1	Trait2	rg	se	z	p
Fasting Insulin	Years of Education	-0.204	0.063	-3.247	0.001
Fasting Proinsulin	Former/Current Smoker	-0.24	0.179	-1.341	0.18
Fasting Proinsulin	HbA1C	0.063	0.153	0.413	0.68
Fasting Proinsulin	HDL	-0.235	0.111	-2.126	0.034
Fasting Proinsulin	Height	0.081	0.052	1.566	0.117
Fasting Proinsulin	Height 2010	0.076	0.058	1.299	0.194
Fasting Proinsulin	Hip Circumference	0.289	0.109	2.651	0.008
Fasting Proinsulin	HOMA-B	-0.011	0.158	-0.071	0.943
Fasting Proinsulin	HOMA-IR	0.257	0.141	1.817	0.069
Fasting Proinsulin	Infant Head Circumference	0.073	0.181	0.402	0.688
Fasting Proinsulin	LDL	0.074	0.118	0.626	0.532
Fasting Proinsulin	Lumbar Spine BMD	0.028	0.094	0.291	0.771
Fasting Proinsulin	Neck BMD	-0.028	0.122	-0.225	0.822
Fasting Proinsulin	Obesity Class 1	0.265	0.086	3.074	0.002
Fasting Proinsulin	Obesity Class 2	0.218	0.084	2.586	0.01
Fasting Proinsulin	Obesity Class 3	0.263	0.115	2.283	0.022
Fasting Proinsulin	Overweight	0.219	0.078	2.802	0.005
Fasting Proinsulin	Rheumatoid Arthritis	0.044	0.089	0.498	0.619
Fasting Proinsulin	Schizophrenia	-0.008	0.06	-0.142	0.887
Fasting Proinsulin	T2D	0.227	0.128	1.779	0.075
Fasting Proinsulin	Total Cholesterol	0.012	0.099	0.122	0.903
Fasting Proinsulin	Triglycerides	0.127	0.1	1.276	0.202
Fasting Proinsulin	Ulcerative Colitis	0.088	0.107	0.821	0.412
Fasting Proinsulin	Waist Circumference	0.329	0.114	2.891	0.004
Fasting Proinsulin	Waist-Hip Ratio	0.23	0.084	2.75	0.006
Fasting Proinsulin	Years of Education	-0.152	0.099	-1.538	0.124
Former/Current Smoker	HbA1C	-0.321	0.109	-2.957	0.003
Former/Current Smoker	HDL	0.266	0.084	3.153	0.002
Former/Current Smoker	Height	0.002	0.043	0.039	0.969
Former/Current Smoker	Height 2010	0.03	0.052	0.588	0.556
Former/Current Smoker	Hip Circumference	-0.121	0.064	-1.902	0.057
Former/Current Smoker	HOMA-B	0.083	0.135	0.611	0.541
Former/Current Smoker	HOMA-IR	-0.182	0.141	-1.294	0.196
Former/Current Smoker	Infant Head Circumference	-0.014	0.136	-0.104	0.917
Former/Current Smoker	LDL	-0.176	0.092	-1.904	0.057
Former/Current Smoker	Lumbar Spine BMD	0.019	0.074	0.253	0.8
Former/Current Smoker	Neck BMD	-0.053	0.071	-0.744	0.457
Former/Current Smoker	Obesity Class 1	-0.154	0.064	-2.412	0.016
Former/Current Smoker	Obesity Class 2	-0.138	0.082	-1.69	0.091
Former/Current Smoker	Obesity Class 3	-0.107	0.106	-1.003	0.316
Former/Current Smoker	Overweight	-0.188	0.072	-2.614	0.009
Former/Current Smoker	Rheumatoid Arthritis	-0.21	0.085	-2.458	0.014
Former/Current Smoker	Schizophrenia	-0.031	0.069	-0.454	0.65
Former/Current Smoker	T2D	-0.153	0.098	-1.556	0.12
Former/Current Smoker	Total Cholesterol	-0.11	0.079	-1.388	0.165
Former/Current Smoker	Triglycerides	-0.159	0.084	-1.886	0.059
Former/Current Smoker	Ulcerative Colitis	0.213	0.093	2.284	2.20E-02
Former/Current Smoker	Waist Circumference	-0.269	0.066	-4.08	4.50E-05
Former/Current Smoker	Waist-Hip Ratio	-0.322	0.064	-5.052	4.38E-07
Former/Current Smoker	Years of Education	0.523	0.092	5.708	1.14E-08
HbA1C	HDL	-0.188	0.066	-2.85	0.004
HbA1C	Height	-0.069	0.043	-1.604	0.109
HbA1C	Height 2010	-0.1	0.05	-2.018	4.40E-02
HbA1C	Hip Circumference	0.045	0.063	0.711	0.477
HbA1C	HOMA-B	-0.199	0.119	-1.673	9.40E-02
HbA1C	HOMA-IR	0.214	0.127	1.69	9.10E-02
HbA1C	Infant Head Circumference	-0.227	0.128	-1.77	0.077
HbA1C	LDL	0.157	0.078	2.022	0.043
HbA1C	Lumbar Spine BMD	0.165	0.073	2.275	0.023
HbA1C	Neck BMD	0.22	0.072	3.071	0.002
HbA1C	Obesity Class 1	0.205	0.061	3.374	0.001
HbA1C	Obesity Class 2	0.165	0.08	2.069	0.039
HbA1C	Obesity Class 3	0.076	0.116	0.657	0.511
HbA1C	Overweight	0.213	0.063	3.375	0.001
HbA1C	Rheumatoid Arthritis	0.038	0.075	0.504	0.614
HbA1C	Schizophrenia	-0.004	0.054	-0.078	9.38E-01
HbA1C	T2D	0.586	0.092	6.399	1.56E-10
HbA1C	Total Cholesterol	0.154	0.066	2.337	0.019
HbA1C	Triglycerides	0.161	0.062	2.596	9.00E-03
HbA1C	Ulcerative Colitis	-0.059	0.079	-0.743	0.457
HbA1C	Waist Circumference	0.174	0.063	2.781	5.00E-03
HbA1C	Waist-Hip Ratio	0.264	0.059	4.498	6.86E-06
HbA1C	Years of Education	-0.178	0.076	-2.355	0.019
HDL	Height	-0.007	0.03	-0.221	0.825
HDL	Height 2010	0.005	0.034	0.151	0.88
HDL	Hip Circumference	-0.276	0.039	-7.146	8.95E-13
HDL	HOMA-B	-0.355	0.078	-4.551	5.33E-06
HDL	HOMA-IR	-0.543	0.086	-6.284	3.31E-10
HDL	Infant Head Circumference	-0.106	0.078	-1.363	0.173
HDL	LDL	0.081	0.083	0.986	0.324
HDL	Lumbar Spine BMD	-0.044	0.046	-0.963	0.335
HDL	Neck BMD	-0.054	0.04	-1.362	0.173
HDL	Obesity Class 1	-0.384	0.054	-7.115	1.12E-12
HDL	Obesity Class 2	-0.346	0.071	-4.859	1.18E-06
HDL	Obesity Class 3	-0.39	0.095	-4.105	4.04E-05
HDL	Overweight	-0.415	0.049	-8.53	1.47E-17
HDL	Rheumatoid Arthritis	0.012	0.049	0.243	0.808
HDL	Schizophrenia	0.056	0.037	1.524	1.28E-01
HDL	T2D	-0.404	0.06	-6.73	1.70E-11
HDL	Total Cholesterol	0.207	0.072	2.892	0.004
HDL	Triglycerides	-0.594	0.069	-8.551	1.22E-17
HDL	Ulcerative Colitis	0.035	0.059	0.592	0.554
HDL	Waist Circumference	-0.424	0.034	-12.553	3.81E-36
HDL	Waist-Hip Ratio	-0.471	0.054	-8.686	3.76E-18
HDL	Years of Education	0.295	0.05	5.953	2.64E-09
Height	Height 2010	1.006	0.004	253.229	0.00E+00
Height	Hip Circumference	0.412	0.021	19.866	8.05E-88
Height	HOMA-B	0.034	0.044	0.79	0.429
Height	HOMA-IR	0.042	0.045	0.924	0.355
Height	Infant Head Circumference	0.272	0.051	5.312	1.09E-07
Height	LDL	-0.102	0.031	-3.277	0.001
Height	Lumbar Spine BMD	0.078	0.029	2.693	0.007
Height	Neck BMD	0.042	0.029	1.446	1.48E-01
Height	Obesity Class 1	-0.071	0.024	-2.929	0.003
Height	Obesity Class 2	-0.064	0.029	-2.162	0.031
Height	Obesity Class 3	-0.114	0.036	-3.185	0.001
Height	Overweight	-0.066	0.026	-2.513	1.20E-02
Height	Rheumatoid Arthritis	0.05	0.028	1.81	0.07
Height	Schizophrenia	-0.004	0.02	-0.22	0.826
Height	T2D	-0.014	0.035	-0.406	0.685
Height	Total Cholesterol	-0.116	0.03	-3.901	9.59E-05
Height	Triglycerides	-0.084	0.024	-3.566	0.00E+00
Height	Ulcerative Colitis	0.044	0.039	1.141	2.54E-01
Height	Waist Circumference	0.248	0.021	11.773	5.37E-32
Height	Waist-Hip Ratio	-0.058	0.023	-2.498	0.013
Height	Years of Education	0.141	0.027	5.261	1.43E-07
Height 2010	Hip Circumference	0.407	0.024	16.827	1.55E-63
Height 2010	HOMA-B	0.027	0.053	0.512	0.608
Height 2010	HOMA-IR	0.039	0.059	0.671	0.502
Height 2010	Infant Head Circumference	0.264	0.06	4.366	1.27E-05
Height 2010	LDL	-0.115	0.033	-3.512	0.00E+00
Height 2010	Lumbar Spine BMD	0.071	0.032	2.261	0.024
Height 2010	Neck BMD	0.037	0.032	1.181	2.38E-01
Height 2010	Obesity Class 1	-0.068	0.028	-2.396	0.017
Height 2010	Obesity Class 2	-0.062	0.034	-1.823	0.068
Height 2010	Obesity Class 3	-0.11	0.042	-2.593	0.01
Height 2010	Overweight	-0.063	0.029	-2.19	0.029
Height 2010	Rheumatoid Arthritis	0.046	0.032	1.426	1.54E-01
Height 2010	Schizophrenia	-0.008	0.023	-0.336	0.737
Height 2010	T2D	-0.043	0.042	-1.005	3.15E-01
Height 2010	Total Cholesterol	-0.122	0.029	-4.174	2.99E-05
Height 2010	Triglycerides	-0.084	0.027	-3.073	0.002
Height 2010	Ulcerative Colitis	0.042	0.044	0.953	0.341
Height 2010	Waist Circumference	0.249	0.024	10.534	6.02E-26
Height 2010	Waist-Hip Ratio	-0.056	0.027	-2.091	0.036
Height 2010	Years of Education	0.129	0.032	4.055	5.02E-05
Hip Circumference	HOMA-B	0.373	0.067	5.565	2.62E-08
Hip Circumference	HOMA-IR	0.577	0.08	7.223	5.07E-13
Hip Circumference	Infant Head Circumference	0.29	0.063	4.584	4.57E-06
Hip Circumference	LDL	-0.026	0.04	-0.64	5.22E-01
Hip Circumference	Lumbar Spine BMD	0.009	0.038	0.252	8.01E-01
Hip Circumference	Neck BMD	-0.006	0.032	-0.179	0.858
Hip Circumference	Obesity Class 1	0.848	0.018	47.116	0
Hip Circumference	Obesity Class 2	0.902	0.023	39.197	0.00E+00
Hip Circumference	Obesity Class 3	0.854	0.055	15.505	3.20E-54
Hip Circumference	Overweight	0.828	0.022	37.777	0.00E+00
Hip Circumference	Rheumatoid Arthritis	0.038	0.033	1.158	0.247
Hip Circumference	Schizophrenia	-0.077	0.027	-2.847	4.00E-03
Hip Circumference	T2D	0.282	0.046	6.175	6.63E-10
Hip Circumference	Total Cholesterol	-0.07	0.038	-1.828	0.068
Hip Circumference	Triglycerides	0.148	0.038	3.883	0
Hip Circumference	Ulcerative Colitis	-0.079	0.043	-1.841	6.60E-02
Hip Circumference	Waist Circumference	0.887	0.009	101.198	0.00E+00
Hip Circumference	Waist-Hip Ratio	0.324	0.035	9.28	1.69E-20
Hip Circumference	Years of Education	-0.157	0.036	-4.384	1.17E-05
HOMA-B	HOMA-IR	0.709	0.063	11.221	3.22E-29
HOMA-B	Infant Head Circumference	-0.004	0.134	-0.027	0.978
HOMA-B	LDL	0.071	0.071	1.01	0.313
HOMA-B	Lumbar Spine BMD	-0.075	0.077	-0.985	3.25E-01
HOMA-B	Neck BMD	-0.035	0.071	-0.493	6.22E-01
HOMA-B	Obesity Class 1	0.4	0.07	5.747	9.09E-09
HOMA-B	Obesity Class 2	0.463	0.089	5.211	1.88E-07
HOMA-B	Obesity Class 3	0.452	0.117	3.854	0
HOMA-B	Overweight	0.42	0.072	5.856	4.74E-09
HOMA-B	Rheumatoid Arthritis	-0.017	0.065	-0.265	7.91E-01
HOMA-B	Schizophrenia	0	0.051	0.006	0.996
HOMA-B	T2D	0.01	0.1	0.1	9.20E-01
HOMA-B	Total Cholesterol	0.07	0.06	1.164	0.244
HOMA-B	Triglycerides	0.377	0.074	5.098	3.43E-07
HOMA-B	Ulcerative Colitis	0.013	0.081	0.158	8.74E-01
HOMA-B	Waist Circumference	0.506	0.065	7.805	5.95E-15
HOMA-B	Waist-Hip Ratio	0.497	0.059	8.446	3.00E-17
HOMA-B	Years of Education	-0.123	0.069	-1.764	0.078
HOMA-IR	Infant Head Circumference	0.001	0.135	0.005	0.996
HOMA-IR	LDL	-0.015	0.082	-0.19	0.85
HOMA-IR	Lumbar Spine BMD	-0.013	0.088	-0.145	0.885
HOMA-IR	Neck BMD	0.096	0.073	1.308	0.191
HOMA-IR	Obesity Class 1	0.614	0.081	7.614	2.65E-14
HOMA-IR	Obesity Class 2	0.659	0.099	6.631	3.34E-11
HOMA-IR	Obesity Class 3	0.71	0.137	5.167	2.39E-07
HOMA-IR	Overweight	0.669	0.086	7.768	7.99E-15
HOMA-IR	Rheumatoid Arthritis	-0.021	0.076	-0.276	0.782
HOMA-IR	Schizophrenia	-0.043	0.054	-0.787	0.431
HOMA-IR	T2D	0.487	0.123	3.97	7.20E-05
HOMA-IR	Total Cholesterol	-0.017	0.072	-0.229	0.819
HOMA-IR	Triglycerides	0.488	0.095	5.121	3.03E-07
HOMA-IR	Ulcerative Colitis	-0.02	0.089	-0.22	8.26E-01
HOMA-IR	Waist Circumference	0.721	0.077	9.341	9.50E-21
HOMA-IR	Waist-Hip Ratio	0.653	0.074	8.851	8.64E-19
HOMA-IR	Years of Education	-0.261	0.075	-3.474	0.001
Infant Head Circumference	LDL	-0.148	0.086	-1.725	0.084
Infant Head Circumference	Lumbar Spine BMD	0.139	0.084	1.653	0.098
Infant Head Circumference	Neck BMD	0.097	0.076	1.288	0.198
Infant Head Circumference	Obesity Class 1	0.155	0.065	2.389	0.017
Infant Head Circumference	Obesity Class 2	0.141	0.079	1.779	0.075
Infant Head Circumference	Obesity Class 3	0.209	0.119	1.747	0.081
Infant Head Circumference	Overweight	0.174	0.07	2.473	0.013
Infant Head Circumference	Rheumatoid Arthritis	-0.046	0.081	-0.569	0.569
Infant Head Circumference	Schizophrenia	-0.051	0.064	-0.797	0.425
Infant Head Circumference	T2D	-0.082	0.092	-0.895	0.371
Infant Head Circumference	Total Cholesterol	-0.188	0.075	-2.49	0.013
Infant Head Circumference	Triglycerides	-0.081	0.071	-1.151	0.25
Infant Head Circumference	Ulcerative Colitis	-0.023	0.102	-0.226	0.821
Infant Head Circumference	Waist Circumference	0.21	0.06	3.488	0
Infant Head Circumference	Waist-Hip Ratio	-0.002	0.061	-0.034	0.973
Infant Head Circumference	Years of Education	0.25	0.083	3.023	0.003
LDL	Lumbar Spine BMD	-0.15	0.06	-2.501	0.012
LDL	Neck BMD	-0.134	0.051	-2.607	0.009
LDL	Obesity Class 1	0.046	0.048	0.955	0.34
LDL	Obesity Class 2	0.019	0.058	0.336	0.737
LDL	Obesity Class 3	-0.014	0.07	-0.195	0.846
LDL	Overweight	0.08	0.048	1.686	0.092
LDL	Rheumatoid Arthritis	0.001	0.054	0.014	0.989
LDL	Schizophrenia	-0.023	0.034	-0.689	0.491
LDL	T2D	0.066	0.064	1.027	0.304
LDL	Total Cholesterol	0.998	0.014	71.489	0.00E+00
LDL	Triglycerides	0.391	0.067	5.824	5.75E-09
LDL	Ulcerative Colitis	-0.108	0.055	-1.978	0.048
LDL	Waist Circumference	0.024	0.037	0.65	0.516
LDL	Waist-Hip Ratio	0.128	0.048	2.66	0.008
LDL	Years of Education	-0.126	0.049	-2.553	1.10E-02
Lumbar Spine BMD	Neck BMD	0.808	0.033	24.823	5.10E-136
Lumbar Spine BMD	Obesity Class 1	0.063	0.035	1.774	0.076
Lumbar Spine BMD	Obesity Class 2	0.005	0.046	0.1	0.92
Lumbar Spine BMD	Obesity Class 3	-0.009	0.067	-0.128	0.898
Lumbar Spine BMD	Overweight	0.065	0.037	1.739	0.082
Lumbar Spine BMD	Rheumatoid Arthritis	-0.14	0.052	-2.662	0.008
Lumbar Spine BMD	Schizophrenia	0.044	0.037	1.197	0.231
Lumbar Spine BMD	T2D	0.136	0.056	2.407	0.016
Lumbar Spine BMD	Total Cholesterol	-0.151	0.05	-3.048	0.002
Lumbar Spine BMD	Triglycerides	-0.036	0.046	-0.776	0.438
Lumbar Spine BMD	Ulcerative Colitis	-0.098	0.051	-1.928	0.054
Lumbar Spine BMD	Waist Circumference	0.03	0.036	0.837	0.403
Lumbar Spine BMD	Waist-Hip Ratio	0.049	0.041	1.208	0.227
Lumbar Spine BMD	Years of Education	0.083	0.045	1.833	0.067
Neck BMD	Obesity Class 1	0.046	0.033	1.394	0.163
Neck BMD	Obesity Class 2	0.029	0.043	0.666	0.505
Neck BMD	Obesity Class 3	-0.056	0.058	-0.961	0.336
Neck BMD	Overweight	0.051	0.033	1.538	0.124
Neck BMD	Rheumatoid Arthritis	-0.03	0.046	-0.645	0.519
Neck BMD	Schizophrenia	0.054	0.033	1.633	0.103
Neck BMD	T2D	0.175	0.05	3.479	0.001
Neck BMD	Total Cholesterol	-0.131	0.042	-3.116	0.002
Neck BMD	Triglycerides	-0.025	0.034	-0.741	0.459
Neck BMD	Ulcerative Colitis	-0.083	0.046	-1.814	0.07
Neck BMD	Waist Circumference	0.005	0.032	0.154	0.877
Neck BMD	Waist-Hip Ratio	0.008	0.037	0.207	0.836
Neck BMD	Years of Education	0.084	0.045	1.868	0.062
Obesity Class 1	Obesity Class 2	1.017	0.013	76.655	0.00E+00
Obesity Class 1	Obesity Class 3	0.987	0.045	21.705	1.84E-104
Obesity Class 1	Overweight	1.022	0.008	123.696	0
Obesity Class 1	Rheumatoid Arthritis	0.05	0.037	1.37	0.171
Obesity Class 1	Schizophrenia	-0.083	0.027	-3.036	2.00E-03
Obesity Class 1	T2D	0.357	0.046	7.703	1.33E-14
Obesity Class 1	Total Cholesterol	0.003	0.038	0.085	9.33E-01
Obesity Class 1	Triglycerides	0.257	0.04	6.373	1.85E-10
Obesity Class 1	Ulcerative Colitis	-0.13	0.047	-2.77	0.006
Obesity Class 1	Waist Circumference	0.918	0.016	55.858	0.00E+00
Obesity Class 1	Waist-Hip Ratio	0.583	0.032	18.14	1.55E-73
Obesity Class 1	Years of Education	-0.295	0.038	-7.824	5.12E-15
Obesity Class 2	Obesity Class 3	1.012	0.034	29.947	4.86E-197
Obesity Class 2	Overweight	1.033	0.017	59.086	0
Obesity Class 2	Rheumatoid Arthritis	0.069	0.045	1.533	0.125
Obesity Class 2	Schizophrenia	-0.088	0.034	-2.579	1.00E-02
Obesity Class 2	T2D	0.323	0.053	6.099	1.07E-09
Obesity Class 2	Total Cholesterol	-0.021	0.05	-0.413	6.80E-01
Obesity Class 2	Triglycerides	0.233	0.049	4.799	1.60E-06
Obesity Class 2	Ulcerative Colitis	-0.153	0.056	-2.746	0.006
Obesity Class 2	Waist Circumference	0.947	0.023	40.868	0.00E+00
Obesity Class 2	Waist-Hip Ratio	0.566	0.041	13.717	8.07E-43
Obesity Class 2	Years of Education	-0.304	0.042	-7.233	4.74E-13
Obesity Class 3	Overweight	0.962	0.05	19.104	2.34E-81
Obesity Class 3	Rheumatoid Arthritis	0.081	0.064	1.259	0.208
Obesity Class 3	Schizophrenia	-0.059	0.048	-1.21	2.26E-01
Obesity Class 3	T2D	0.328	0.07	4.661	3.15E-06
Obesity Class 3	Total Cholesterol	-0.05	0.062	-0.808	4.19E-01
Obesity Class 3	Triglycerides	0.251	0.064	3.926	8.63E-05
Obesity Class 3	Ulcerative Colitis	-0.109	0.079	-1.38	1.68E-01
Obesity Class 3	Waist Circumference	0.892	0.055	16.167	8.61E-59
Obesity Class 3	Waist-Hip Ratio	0.568	0.057	10.023	1.20E-23
Obesity Class 3	Years of Education	-0.353	0.063	-5.602	2.11E-08
Overweight	Rheumatoid Arthritis	0.025	0.037	0.681	0.496
Overweight	Schizophrenia	-0.066	0.028	-2.381	1.70E-02
Overweight	T2D	0.389	0.049	7.944	1.96E-15
Overweight	Total Cholesterol	0.023	0.038	0.617	5.38E-01
Overweight	Triglycerides	0.271	0.042	6.378	1.79E-10
Overweight	Ulcerative Colitis	-0.125	0.049	-2.558	0.011
Overweight	Waist Circumference	0.897	0.019	46.876	0.00E+00
Overweight	Waist-Hip Ratio	0.587	0.034	17.236	1.43E-66
Overweight	Years of Education	-0.316	0.042	-7.482	7.34E-14
Rheumatoid Arthritis	Schizophrenia	-0.034	0.032	-1.062	0.288
Rheumatoid Arthritis	T2D	-0.062	0.05	-1.242	0.214
Rheumatoid Arthritis	Total Cholesterol	-0.015	0.048	-0.307	0.759
Rheumatoid Arthritis	Triglycerides	-0.065	0.039	-1.663	0.096
Rheumatoid Arthritis	Ulcerative Colitis	0.098	0.059	1.657	0.098
Rheumatoid Arthritis	Waist Circumference	0.034	0.032	1.064	0.287
Rheumatoid Arthritis	Waist-Hip Ratio	0.009	0.037	0.253	8.00E-01
Rheumatoid Arthritis	Years of Education	-0.258	0.048	-5.35	8.79E-08
Schizophrenia	T2D	-0.024	0.039	-0.607	0.544
Schizophrenia	Total Cholesterol	-0.013	0.031	-0.417	0.676
Schizophrenia	Triglycerides	-0.039	0.03	-1.291	0.197
Schizophrenia	Ulcerative Colitis	0.112	0.037	3.032	0.002
Schizophrenia	Waist Circumference	-0.077	0.026	-3.024	0.002
Schizophrenia	Waist-Hip Ratio	-0.038	0.025	-1.502	0.133
Schizophrenia	Years of Education	0.086	0.037	2.319	0.02
T2D	Total Cholesterol	0.009	0.054	0.166	8.68E-01
T2D	Triglycerides	0.334	0.061	5.493	3.95E-08
T2D	Ulcerative Colitis	0.076	0.066	1.16	2.46E-01
T2D	Waist Circumference	0.401	0.04	9.911	3.73E-23
T2D	Waist-Hip Ratio	0.419	0.046	9.103	8.76E-20
T2D	Years of Education	-0.21	0.059	-3.567	0.00E+00
Total Cholesterol	Triglycerides	0.454	0.063	7.188	6.57E-13
Total Cholesterol	Ulcerative Colitis	-0.09	0.049	-1.84	0.066
Total Cholesterol	Waist Circumference	-0.019	0.034	-0.565	0.572
Total Cholesterol	Waist-Hip Ratio	0.092	0.039	2.361	0.018
Total Cholesterol	Years of Education	-0.096	0.042	-2.29	0.022
Triglycerides	Ulcerative Colitis	-0.034	0.057	-0.593	5.53E-01
Triglycerides	Waist Circumference	0.325	0.037	8.758	1.98E-18
Triglycerides	Waist-Hip Ratio	0.414	0.044	9.449	3.42E-21
Triglycerides	Years of Education	-0.251	0.044	-5.761	8.37E-09
Ulcerative Colitis	Waist Circumference	-0.106	0.044	-2.407	0.016
Ulcerative Colitis	Waist-Hip Ratio	-0.079	0.045	-1.765	0.078
Ulcerative Colitis	Years of Education	0.039	0.059	0.658	0.511
Waist Circumference	Waist-Hip Ratio	0.733	0.017	42.03	0.00E+00
Waist Circumference	Years of Education	-0.287	0.034	-8.332	7.95E-17
Waist-Hip Ratio	Years of Education	-0.321	0.037	-8.606	7.56E-18
